time ,illuminance
756.9098756,102
757.1098678,103
757.3098672,104
758.1098762,103
759.3098739,101
759.7099175,100
760.3099185,99
760.5099216,100
760.709918,99
761.3098687,98
764.9098762,99
765.9098762,100
768.9098765,99
769.7098676,100
770.9098679,101
772.9098684,100
773.7098676,99
774.1098684,100
777.1098697,99
777.7098529,98
779.1098684,97
779.3098757,98
780.1098759,97
781.1098684,96
781.309876,97
782.3098679,96
782.7098684,95
783.1098685,96
784.3098681,95
785.9099231,94
786.309919,93
786.5099151,92
786.7098824,91
787.7098676,90
788.1098676,89
789.1098762,87
789.709876,88
790.5098759,87
790.9098689,86
791.509876,85
792.5098681,86
792.709876,85
792.9098676,86
793.509862,85
793.7098676,78
793.9098765,69
794.1098686,65
794.3098684,64
794.7098676,63
794.9098687,64
795.7098684,65
795.9098697,66
796.1098684,68
796.5098618,63
796.7098598,48
796.9098679,31
797.1098681,21
797.3098682,20
797.5098681,19
797.9098679,20
798.1098677,21
798.3098687,24
798.5098681,29
798.7098681,32
798.9098678,34
799.1098684,38
799.3098674,39
799.5098684,38
799.7098676,32
799.9098512,25
800.1098692,22
800.3099016,21
801.5099061,22
801.7099039,24
801.9099069,25
802.309905,26
803.5098685,27
803.9098684,28
804.109876,27
804.3098684,21
804.509876,13
804.7098687,11
805.1098684,10
806.1098762,11
806.709876,9
806.909876,6
807.1098676,5
808.3098679,6
808.509876,5
808.909876,4
809.3098512,3
811.7098676,2
815.3098681,3
815.5098765,2
815.9098606,1
820.909873,2
821.7098647,1
827.3098644,2
828.3098642,1
829.5098647,2
829.7098639,1
831.9098728,2
832.3098728,1
832.9098647,2
833.1098639,31
833.3098647,78
833.5098639,96
833.9098639,97
834.3098726,98
835.5098657,99
836.3098649,98
836.9098722,99
838.5098642,98
838.7098722,99
839.9098642,100
841.7098642,99
841.9098728,100
843.9098649,99
846.1099186,98
846.9099172,97
847.1098767,96
848.3098725,95
848.9098641,94
850.7098728,93
852.9098725,94
853.1098647,93
853.309864,94
853.7098642,95
853.9098647,96
855.3098645,95
855.5098642,94
